dataset,validation_engines,MAE_cycles,RMSE_cycles,R2,classification_accuracy,macro_F1,features
FD001,20,11.21905517578125,16.26126318647853,0.8457477688789368,0.8322127139364304,0.7948693272926304,0
FD002,52,19.501178741455078,23.40847682164252,0.6857503652572632,0.7013525305410122,0.5320656087750015,0
FD003,20,10.814592361450195,14.98824612730443,0.8709285259246826,0.8423512051155927,0.7546086712326714,0
FD004,49,18.601377487182617,24.1933574040576,0.6574088931083679,0.7382218148487626,0.5495426574040878,0
