sensor,pearson_r,spearman_r,absolute_spearman,signal
Ps30,-0.7607619574982262,-0.7035656758750721,0.7035656758750721,STRONG
T50,-0.742203208027093,-0.6888726138195074,0.6888726138195074,STRONG
P30,0.7173793323852498,0.6719912741040878,0.6719912741040878,STRONG
phi,0.7276555372332761,0.6718021577470239,0.6718021577470239,STRONG
T24,-0.674511838210617,-0.6294039114197187,0.6294039114197187,STRONG
T30,-0.6566780377307342,-0.6093894495206054,0.6093894495206054,STRONG
Nc,-0.4849775445801384,-0.33722358401434915,0.33722358401434915,MODERATE
NRc,-0.41240659083081366,-0.248512597660364,0.248512597660364,WEAK
epr,0.0,0.0,0.0,WEAK
